"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
2,2,205,2,712,20109,3,0,0,7,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,205,2,712,20110,7,0,2,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,218,2,1592,20111,7,0,0,2,0,0,0,2,0,2,3,1,,,,2,,,,,,,,,
2,2,218,2,1592,20112,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
2,2,218,2,1592,20113,6,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,218,2,1592,20114,7,7,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
2,2,218,2,1592,20115,1,0,0,0,0,0,0,0,0,4,4,1,,,,2,,,,,,,,,
2,2,218,2,1592,20116,7,7,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
2,2,218,2,1592,20117,1,1,1,1,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,218,2,1592,20118,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,218,2,1592,20119,0,0,0,0,0,0,0,0,0,1,2,1,,,,2,,,,,,,,,
2,2,218,2,1592,20120,7,0,0,2,0,0,0,1,0,3,3,1,,,,2,,,,,,,,,
5,3,331,1,2322,30001,,0,0,0,0,1,0,0,0,2,3,1,,,,2,,,,,,,,,
5,3,331,1,2322,30002,1,0,1,1,1,0,0,4,0,4,2,2,1,3,2,1,5,,,7,,,9,,
5,3,331,1,2322,30003,0,0,0,0,0,0,0,0,0,0,3,1,,,,2,,,,,,,,,
5,3,331,1,2322,30004,0,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,
5,3,331,1,2322,30005,0,2,0,0,0,3,0,0,0,3,3,1,,,,2,,,,,,,,,
5,3,331,1,2322,30006,,0,0,0,0,0,0,0,0,,3,1,,,,2,,,,,,,,,
5,3,331,1,2322,30007,,0,4,4,4,0,0,3,3,1,1,1,,,,1,7,7,9,5,6,,,,
5,3,331,1,2322,30008,0,3,0,0,0,0,0,0,0,3,,1,,,,,,,,,,,,,
5,3,331,1,2322,30009,0,0,2,0,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,
5,3,331,1,2322,30010,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
5,3,331,1,516,30011,,0,0,0,0,0,0,0,0,0,3,1,,,,2,,,,,,,,,
5,3,331,1,516,30012,0,2,2,4,0,0,0,0,0,0,3,2,3,2,1,1,6,6,5,10,1,,,,
5,3,331,1,516,30013,,1,2,2,2,0,0,0,0,2,2,1,,,,1,4,2,1,,,,,,
5,3,331,1,516,30014,0,1,1,1,0,0,0,0,0,3,,1,,,,1,3,2,9,,,,,,
5,3,331,1,516,30015,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,
5,3,331,1,516,30016,0,2,1,1,1,0,0,0,0,3,3,1,,,,1,5,5,,,,,9,5,
