"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,107,2,1044,10062,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10062,3,14,,,,14,,,,14,,,,14,,,,8,,,,8,,,,0
4,1,107,2,1044,10063,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10063,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10063,3,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,107,2,1044,10063,4,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,107,2,1044,10063,5,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,107,2,1044,10064,1,1,16,,,1,16,,,1,16,,,1,16,,,1,16,,,1,16,,,0
4,1,107,2,1044,10064,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,107,2,1044,10064,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10064,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
