"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,110,2,76,10088,3,2,,,,,,,,,,,,,,
4,1,110,2,76,10088,4,2,,,,,,,,,,,,,,
4,1,110,2,76,10088,5,2,,,,,,,,,,,,,,
4,1,110,2,76,10088,6,2,,,,,,,,,,,,,,
4,1,110,2,76,10089,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10090,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10091,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10091,2,2,,,,,,,,,,,,,,
4,1,105,2,638,10091,3,2,,,,,,,,,,,,,,
4,1,105,2,638,10092,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10092,2,2,,,,,,,,,,,,,,
4,1,105,2,638,10093,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10094,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10094,2,2,,,,,,,,,,,,,,
4,1,105,2,638,10095,1,1,1,1000000,0,,,2,,,,,,,,
4,1,105,2,638,10096,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10096,2,2,,,,,,,,,,,,,,
4,1,105,2,638,10096,3,2,,,,,,,,,,,,,,
4,1,105,2,638,10096,4,2,,,,,,,,,,,,,,
4,1,105,2,638,10096,5,2,,,,,,,,,,,,,,
4,1,105,2,638,10096,6,2,,,,,,,,,,,,,,
4,1,105,2,638,10096,7,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,2,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,3,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,4,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,5,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,6,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,8,2,,,,,,,,,,,,,,
4,1,105,2,638,10097,9,2,,,,,,,,,,,,,,
4,1,105,2,638,10098,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10099,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10100,1,2,,,,,,,,,,,,,,
4,1,105,2,638,10100,2,2,,,,,,,,,,,,,,
4,1,105,2,638,10100,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10101,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10101,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10102,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10102,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10102,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10103,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10103,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10103,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10103,4,2,,,,,,,,,,,,,,
4,1,108,2,904,10103,5,2,,,,,,,,,,,,,,
4,1,108,2,904,10103,6,2,,,,,,,,,,,,,,
4,1,108,2,904,10104,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10105,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10105,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10105,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10106,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10106,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10106,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10106,4,2,,,,,,,,,,,,,,
4,1,108,2,904,10107,1,2,,,,,,,,,,,,,,
