"cropname","cropcode","nscode","conversion","kg"
"garlic",2090,72,85,1
"garlic",2090,73,110,1
"garlic",2090,74,150,1
"ginger",2100,21,20,1
"ginger",2100,22,50,1
"ginger",2100,23,100,1
"ginger",2100,24,120,1
"ginger",2100,25,15,1
"ginger",2100,26,30,1
"ginger",2100,27,50,1
"ginger",2100,28,75,1
"ginger",2100,31,10,1
"ginger",2100,32,25,1
"ginger",2100,33,40,1
"ginger",2100,34,75,1
"ginger",2100,61,15,1
"ginger",2100,62,25,1
"ginger",2100,63,40,1
"ginger",2100,81,1500,1
"ginger",2100,82,2000,1
"ginger",2100,83,2500,1
"ginger peeled",2101,21,20,1
"ginger peeled",2101,22,50,1
"ginger peeled",2101,23,100,1
"ginger peeled",2101,24,120,1
"ginger peeled",2101,25,15,1
"ginger peeled",2101,26,30,1
"ginger peeled",2101,27,50,1
"ginger peeled",2101,28,75,1
"ginger peeled",2101,31,10,1
"ginger peeled",2101,32,25,1
"ginger peeled",2101,33,40,1
"ginger peeled",2101,34,75,1
"ginger peeled",2101,61,15,1
"ginger peeled",2101,62,25,1
"ginger peeled",2101,63,40,1
"ginger peeled",2101,81,1500,1
"ginger peeled",2101,82,2000,1
"ginger peeled",2101,83,2500,1
"ginger split",2102,21,20,1
"ginger split",2102,22,50,1
"ginger split",2102,23,100,1
"ginger split",2102,24,120,1
"ginger split",2102,25,15,1
"ginger split",2102,26,30,1
"ginger split",2102,27,50,1
"ginger split",2102,28,75,1
"ginger split",2102,31,10,1
"ginger split",2102,32,25,1
"ginger split",2102,33,40,1
"ginger split",2102,34,75,1
"ginger split",2102,61,15,1
"ginger split",2102,62,25,1
"ginger split",2102,63,40,1
"ginger split",2102,81,1500,1
"ginger split",2102,82,2000,1
"ginger split",2102,83,2500,1
"other spices/vanilla",2103,21,20,1
"other spices/vanilla",2103,22,50,1
"other spices/vanilla",2103,23,100,1
"other spices/vanilla",2103,24,120,1
"other spices/vanilla",2103,25,15,1
"other spices/vanilla",2103,26,30,1
"other spices/vanilla",2103,27,50,1
