"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
2,34,3416,2,0,20011,0,0,1,2,1,2,1,4,1,"17032016",17,3,2016,8,40,14,59,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
2,2,221,2,18,20012,1210,18,1,3,1,2,1,3,1,"22022016",22,2,2016,7,52,11,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20013,1210,103,1,2,1,2,1,4,1,"25022016",25,2,2016,9,10,14,22,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20014,1210,60,1,3,1,2,1,5,1,"23022016",23,2,2016,7,42,11,1,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20015,1210,83,1,2,1,2,1,5,1,"23022016",23,2,2016,12,58,16,27,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20016,1210,92,1,2,1,2,1,3,1,"22022016",22,2,2016,12,5,13,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20017,1210,28,1,2,1,2,1,2,1,"24022016",24,2,2016,3,12,11,31,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20018,1210,39,1,2,1,2,1,4,1,"24022016",24,2,2016,8,2,11,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20019,1210,50,1,2,1,2,1,5,1,"22022016",22,2,2016,10,41,13,52,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,221,2,18,20020,1210,71,1,3,1,1,1,2,1,"24022016",24,2,2016,14,18,17,42,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20021,1501,1,1,2,1,2,1,4,1,"27022016",27,2,2016,14,22,16,37,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20022,1501,5,1,2,1,2,1,2,1,"27022016",27,2,2016,8,41,11,47,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20023,1501,13,1,2,1,2,1,3,1,"27022016",27,2,2016,7,3,9,17,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20024,1501,9,1,2,1,2,1,5,1,"27022016",27,2,2016,9,7,12,32,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20025,1501,22,1,3,1,2,1,5,1,"27022016",27,2,2016,13,43,16,56,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20026,1501,15,1,2,1,2,1,3,1,"27022016",27,2,2016,16,20,18,3,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20027,1501,7,1,2,1,2,1,4,1,"27022016",27,2,2016,10,41,14,8,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20028,1501,18,1,2,1,2,1,2,1,"27022016",27,2,2016,13,49,16,52,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20029,1501,3,1,2,1,2,1,2,1,"27022016",27,2,2016,7,11,9,17,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,201,2,60,20030,1501,11,1,2,1,2,1,3,1,"27022016",27,2,2016,20,8,23,10,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20031,1308,16,1,2,1,2,1,4,1,"29022016",29,2,2016,14,8,16,31,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20032,1308,32,1,2,1,2,1,5,1,"29022016",29,2,2016,7,11,10,15,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20033,1308,4,1,2,1,2,1,5,1,"29022016",29,2,2016,13,3,16,21,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20034,1308,35,1,3,1,2,1,2,1,"29022016",29,2,2016,8,10,12,16,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20035,1308,1,1,2,1,2,1,5,1,"29022016",29,2,2016,16,35,18,53,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20036,1308,10,1,2,1,2,1,2,1,"29022016",29,2,2016,7,13,10,16,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20037,1308,19,1,2,1,2,1,3,1,"29022016",29,2,2016,11,39,13,41,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,216,2,200,20038,1308,22,1,2,1,2,1,3,1,"29022016",29,2,2016,6,9,10,10,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
2,2,216,2,200,20040,1308,9,1,2,1,2,1,4,1,"29022016",29,2,2016,8,21,12,30,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,203,2,1224,20041,1102,7,1,2,1,2,1,2,1,"02032016",2,3,2016,15,12,16,58,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,203,2,1224,20042,1102,18,1,2,1,2,1,4,1,"03032016",3,3,2016,12,20,14,12,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,203,2,1224,20043,1102,1,1,2,1,2,1,3,1,"04032016",4,3,2016,12,15,14,0,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
