"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
2,2,214,2,898,20076,4,2,2,3,1,0,0,0,0,3,0,1,,,,1,8,,,,,,4,,6,,5,
2,2,214,2,898,20077,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20078,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20080,2,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20081,0,1,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20082,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,10,,,,,,10,,,,,
2,2,215,1,8,20083,5,3,2,2,1,0,0,0,0,3,3,1,,,,1,8,,,,,,5,,6,,4,
2,2,215,1,8,20084,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20085,0,0,0,0,0,0,0,0,0,3,0,1,,,,1,8,9,,,,,10,,5,,,
2,2,215,1,8,20086,5,3,3,4,2,0,0,0,0,3,0,1,,,,1,8,,,,,,4,,5,,6,
2,2,215,1,8,20087,0,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20088,3,0,0,0,0,0,0,0,0,3,3,1,,,,1,10,,,,,,10,,,,,
2,2,215,1,8,20089,2,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,215,1,8,20090,2,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20091,4,5,3,2,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20092,4,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20093,3,1,1,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20094,3,2,1,2,0,1,3,2,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20095,0,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20096,0,1,3,2,0,1,0,2,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20097,0,1,3,2,1,0,2,1,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20098,2,1,1,1,1,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20099,0,0,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,,,,
2,2,207,2,1302,20100,2,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20101,0,1,2,1,0,3,0,2,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20102,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20103,4,5,5,4,3,0,0,0,0,3,3,1,,,,1,8,,,,,,6,,5,,4,
2,2,205,2,712,20104,1,0,0,0,0,0,0,0,0,3,5,1,,,,1,8,9,,,,,4,,5,,10,
2,2,205,2,712,20105,0,0,0,0,0,0,0,0,0,3,1,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20106,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,,,1,,,1,,,,,
2,2,205,2,712,20107,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20108,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20110,2,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20111,2,2,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,3,,9,,5,
2,2,218,2,1592,20112,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20113,0,1,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20114,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20115,5,3,3,5,3,0,0,0,0,3,3,1,,,,1,9,,,,,,4,,5,,6,
2,2,218,2,1592,20116,4,4,3,2,2,0,0,0,0,3,0,1,,,,1,8,,,,,,4,,6,,5,
2,2,218,2,1592,20117,0,1,0,7,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20118,5,2,2,1,2,0,0,0,0,3,3,1,,,,1,9,,,,,,4,,6,,5,
2,2,218,2,1592,20119,5,5,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20120,2,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30001,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30002,7,3,3,2,0,0,2,2,3,2,0,1,,,,1,4,5,10,1,2,,2,,3,,4,
5,3,331,1,2322,30003,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30004,2,2,2,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30005,2,2,2,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30006,2,2,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30007,0,0,5,5,4,0,2,2,3,1,2,1,,,,2,,,,,,,,,,,,
