"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
5,3,316,2,874,30030,1,1,1,,1,2,,1,1,,2,2,2,2,2,1
5,3,309,2,478,30031,1,2,,1,2,,2,1,1,,2,2,2,2,2,1
5,3,309,2,478,30032,2,1,1,,1,1,,2,,2,2,2,2,2,2,1
5,3,309,2,478,30033,1,1,1,,1,1,,1,1,,2,2,2,2,2,2
5,3,309,2,478,30034,1,1,1,,1,2,,1,1,,1,2,1,1,1,2
5,3,309,2,478,30035,2,1,1,,2,,2,2,,2,1,2,1,2,1,1
5,3,309,2,478,30036,2,1,1,,1,1,,1,1,,1,2,1,3,1,2
5,3,309,2,478,30037,2,1,1,,1,2,,1,1,,2,2,1,4,2,2
5,3,309,2,478,30038,2,2,,2,2,,2,1,1,,2,2,1,2,2,2
5,3,309,2,478,30039,1,2,,2,2,,2,1,1,,2,2,1,2,1,1
5,3,309,2,478,30040,1,1,1,,1,1,,1,1,,1,2,2,1,1,1
5,3,307,1,634,30041,1,1,1,,2,,2,1,1,,2,2,2,2,2,1
5,3,307,1,634,30042,1,1,1,,2,,2,1,1,,2,2,2,2,2,1
5,3,307,1,634,30043,1,1,,,1,1,,1,1,,2,2,2,2,2,2
5,3,307,1,634,30044,1,2,,2,2,,2,1,1,,2,2,2,2,2,2
5,3,307,1,634,30045,1,1,1,,2,,1,1,1,,2,2,2,1,2,1
5,3,307,1,634,30046,1,1,1,,1,1,,1,1,,1,2,2,2,2,2
5,3,307,1,634,30047,2,2,,2,2,,1,1,1,,2,2,4,1,2,2
5,3,307,1,634,30048,1,1,1,,1,2,,1,1,,1,2,2,2,2,2
5,3,307,1,634,30049,4,1,1,,2,,2,1,1,,1,2,1,3,1,1
5,3,307,2,0,30050,1,1,1,,1,1,,1,1,,1,1,2,2,2,2
5,3,321,2,364,30051,1,1,1,,2,,2,1,1,,2,2,1,1,1,2
5,3,321,2,364,30052,2,1,1,,2,,2,1,1,,2,2,1,1,1,2
5,3,321,2,364,30053,1,1,1,,2,,2,1,1,,2,2,2,2,2,1
5,3,321,2,364,30054,2,1,2,,2,,2,1,1,,2,2,2,2,2,2
5,3,321,2,364,30055,2,1,1,,1,1,,1,1,,1,2,1,1,1,1
5,3,321,2,364,30056,1,1,1,,1,1,,1,1,,1,2,1,1,1,2
5,3,321,2,364,30057,5,1,1,,2,,1,1,1,,2,2,2,2,3,1
5,3,321,2,364,30058,1,2,,1,2,,2,1,1,,2,2,2,2,2,1
5,3,321,2,364,30059,2,1,2,,2,,1,1,1,,2,2,1,2,1,1
5,3,321,2,364,30060,2,1,1,,1,1,,1,1,,2,2,1,3,1,2
5,3,329,2,696,30061,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
5,3,329,2,696,30062,1,2,,2,1,1,,2,,2,2,2,3,2,2,1
5,3,329,2,696,30063,1,1,1,,1,1,,1,1,,2,2,2,2,1,2
5,3,309,1,0,30064,1,1,1,,1,1,,1,2,,2,1,2,1,2,1
