"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
2,2,207,2,1302,20100,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,3,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,5,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,6,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,207,2,1302,20100,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,207,2,1302,20100,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,207,2,1302,20100,11,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,205,2,712,20108,1,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,36,9,,2,,,,,,,,,0
2,2,205,2,712,20108,2,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,36,9,,2,,,,,,,,,0
2,2,205,2,712,20108,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,205,2,712,20108,5,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,36,9,,2,,,,,,,,,0
2,2,205,2,712,20108,6,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,30,9,,2,,,,,,,,,0
