"zone","state","lga","sector","ea","hhid","byprod_cd","byprod_desc","byprod_other","sa8q1","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6","sa8q7a","sa8q7b","sa8q8a","sa8q8b","tracked_obs"
4,1,110,2,76,10089,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,1,"MILK",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,2,"EGGS",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,3,"HONEY",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,105,2,638,10091,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,1,"MILK",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,2,"EGGS",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,3,"HONEY",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,105,2,638,10097,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,1,"MILK",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,2,"EGGS",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,3,"HONEY",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,105,2,638,10099,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,1,"MILK",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,2,"EGGS",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,3,"HONEY",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,105,2,638,10100,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,1,"MILK",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,2,"EGGS",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,3,"HONEY",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,108,2,904,10102,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,1,"MILK",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,2,"EGGS",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,3,"HONEY",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,108,2,904,10103,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,1,"MILK",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,2,"EGGS",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,3,"HONEY",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,108,2,904,10106,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,108,2,904,10107,1,"MILK",,2,,,,,,,,,,,,0
4,1,108,2,904,10107,2,"EGGS",,2,,,,,,,,,,,,0
4,1,108,2,904,10107,3,"HONEY",,2,,,,,,,,,,,,0
