"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
4,4,410,1,3414,40152,1,2,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40152,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40154,1,1,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40154,1,2,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40154,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40155,1,1,"YAM",1120,10,3,10,2006,0,9,2012,12,2012,1,11,,400,42,0
4,4,410,1,3414,40155,1,2,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40158,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40158,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40158,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40158,1,4,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,401,1,738,40161,1,1,"MAIZE",1080,4,3,4,1963,0,10,2011,11,2011,2,,,5000,1,0
4,4,401,1,738,40163,1,1,"YAM",1120,3,3,3,1980,0,10,2011,11,2011,2,,,2000,1,0
4,4,401,1,738,40164,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,401,1,738,40164,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,1,738,40164,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,401,1,738,40164,1,4,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,1,738,40165,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,401,1,738,40165,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,1,738,40165,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,401,1,738,40165,1,4,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,1,738,40166,1,1,"YAM",1120,10,1,10,2006,0,11,2012,2,2012,2,,,200,42,0
4,4,401,1,738,40170,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,401,1,738,40170,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,1,738,40170,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,401,1,738,40170,1,4,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,421,1,800,40172,1,1,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,421,1,800,40172,1,2,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,421,1,800,40172,1,3,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,421,1,800,40177,1,3,"PLANTAIN",2170,30,3,999,2009,0,9,2011,11,2011,2,,,4000,1,0
4,4,421,1,800,40178,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
