"zone","state","lga","ea","sector","hhid","plotid","s11aq4aa","s11aq4b","s11aq4a","s11aq4b1","s11aq4b1_os","s11aq4b2","s11aq4c","s11b1q27","s11aq6a","s11aq6b","s11aq6c","s11aq6d"
4,1,109,1792,2,19099,2,200,1,1,,,,738.99,1,2,1,,
4,1,109,1792,2,19100,1,500,1,1,,,,1549.2,1,1,,,
4,1,109,1792,2,19100,2,800,1,1,,,,1662.4,1,1,,,
4,1,109,1792,2,19100,3,1,5,,,,,,2,,,,
4,1,109,1792,2,19101,1,100,1,1,,,,205.09,1,1,2,,
4,1,109,1792,2,19101,2,400,1,2,1,,,,1,1,2,,
4,1,109,1792,2,19101,3,1,5,,,,,,2,,,,
4,1,109,1792,2,19103,1,500,1,2,1,,,,1,1,2,3,
4,1,109,1792,2,19103,2,96.6,7,,,,,,2,,,,
4,1,109,1792,2,19104,1,600,1,1,,,,2858.1,1,1,2,3,4
4,1,109,1792,2,19104,2,5500,1,2,1,,,,1,1,2,3,4
4,1,109,1792,2,19104,3,94.8,7,,,,,,2,,,,
4,1,109,1792,2,19105,1,450,1,1,,,,723.32,1,1,2,3,4
4,1,109,1792,2,19105,2,500,1,2,1,,,,1,1,2,3,4
4,1,109,1792,2,19105,3,450,1,1,,,,1476.6,1,1,2,3,4
4,1,109,1792,2,19105,4,500,1,2,1,,,,1,1,2,3,4
4,1,109,1792,2,19105,5,98.6,7,,,,,,2,,,,
4,1,109,1792,2,19106,1,78,1,1,,,,97.3,1,6,3,4,7
4,1,109,1792,2,19106,2,1,5,2,4,,,,1,7,3,4,6
4,1,109,1792,2,19106,3,280.6,7,,,,,,2,,,,
4,1,109,1792,2,19107,1,200,1,1,,,,525.66,1,1,,,
4,1,109,1792,2,19107,2,2,5,,,,,,2,,,,
4,1,109,1996,2,19110,1,2257.1,7,1,,,,2257.1,1,1,,,
4,1,109,1996,2,19110,2,1726,7,1,,,,1726,1,1,,,
4,1,109,1996,2,19110,3,150.58,7,,,,,,2,,,,
4,1,109,1996,2,19111,1,450,1,1,,,,1128,1,1,,,
4,1,109,1996,2,19111,2,200,1,1,,,,828.95,1,1,,,
4,1,109,1996,2,19111,3,25.2,7,,,,,,2,,,,
4,1,109,1996,2,19112,1,650,1,2,1,,,,1,1,2,,
4,1,109,1996,2,19112,2,600,1,1,,,,1552.9,1,1,,,
4,1,109,1996,2,19112,3,110.16,7,,,,,,2,,,,
4,1,109,1996,2,19113,1,1217.7,7,1,,,,1217.7,1,1,,,
4,1,109,1996,2,19113,2,2188.8,7,1,,,,2188.8,1,1,,,
4,1,109,1996,2,19115,1,400,1,1,,,,496.63,1,1,2,3,
4,1,109,1996,2,19115,2,500,1,1,,,,1250.8,1,1,2,3,
4,1,109,1996,2,19115,3,96.8,7,,,,,,2,,,,
4,1,109,1996,2,19116,1,600,1,1,,,,1577.8,1,1,2,3,4
4,1,109,1996,2,19116,2,500,1,2,1,,,,1,1,2,3,4
4,1,109,1996,2,19116,3,86.5,7,,,,,,2,,,,
4,1,109,1996,2,19116,4,670,1,1,,,,1611.5,1,1,,,
4,1,109,1996,2,19117,1,500,1,1,,,,1919.3,1,1,2,3,4
4,1,109,1996,2,19117,2,500,1,1,,,,644.59,1,1,2,3,4
4,1,109,1996,2,19117,3,550,1,2,1,,,,1,1,2,3,4
4,1,109,1996,2,19117,4,400,1,1,,,,907.6,1,1,2,3,4
4,1,109,1996,2,19117,5,96.8,7,,,,,,2,,,,
4,1,109,1996,2,19117,6,400,1,1,,,,405.12,1,1,2,,
4,1,109,1996,2,19118,1,400,1,1,,,,1238.1,1,1,,,
4,1,109,1996,2,19118,2,550,1,2,1,,,,1,1,,,
4,1,109,1996,2,19118,3,1,6,,,,,,2,,,,
4,1,109,1996,2,19119,1,500,1,1,,,,2105.8,1,1,,,
4,1,109,1996,2,19119,2,480,1,2,1,,,,1,1,,,
4,1,109,1996,2,19119,3,350,1,1,,,,1634.2,1,1,,,
4,1,109,1996,2,19119,4,2,6,,,,,,2,,,,
4,1,109,1996,2,19120,1,500,1,1,,,,1957.4,1,1,,,
4,1,109,1996,2,19120,2,600,1,1,,,,2381.5,1,1,,,
4,1,109,1996,2,19120,3,1,6,,,,,,2,,,,
4,1,109,1996,2,19120,4,250,1,1,,,,577.81,1,1,,,
4,1,110,338,2,19121,1,1,5,1,,,,966.77,1,1,,,
4,1,110,338,2,19121,2,1,5,1,,,,656.18,1,1,,,
4,1,110,338,2,19121,3,1,5,,,,,,2,,,,
4,1,110,338,2,19122,1,2,5,1,,,,730.68,1,1,,,
4,1,110,338,2,19122,2,2,5,1,,,,912.12,1,1,,,
4,1,110,338,2,19122,3,1,5,,,,,,2,,,,
4,1,110,338,2,19123,1,1,5,1,,,,387.27,1,2,1,,
4,1,110,338,2,19123,2,1,5,,,,,,2,,,,
4,1,110,338,2,19124,1,1,5,1,,,,1273.1,1,1,2,,
4,1,110,338,2,19124,2,1,5,1,,,,942.39,1,1,2,,
4,1,110,338,2,19124,3,1,5,,,,,,2,,,,
4,1,110,338,2,19125,1,2000,1,1,,,,213.16,1,1,,,
4,1,110,338,2,19125,2,1800,1,1,,,,154,1,1,,,
4,1,110,338,2,19125,3,1,5,,,,,,2,,,,
4,1,110,338,2,19126,1,1,5,1,,,,268.52,1,1,,,
4,1,110,338,2,19126,2,1,5,1,,,,1247.7,1,1,,,
4,1,110,338,2,19126,3,1,5,,,,,,2,,,,
4,1,110,338,2,19127,1,1,5,1,,,,469.8,1,1,,,
4,1,110,338,2,19127,2,1,5,1,,,,760.5,1,1,,,
4,1,110,338,2,19127,3,1,5,,,,,,2,,,,
