"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
4,1,104,2,1020,"104-1020",709,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",710,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",711,1,,1,,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",712,1,,1,,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",713,1,,1,,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",714,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",715,2,,,,,,,,,,,,,,,
4,1,104,2,412,"104-412",701,1,,1,,1,0,1,0,0,0,0,0,0,0,0,
4,1,104,2,412,"104-412",702,1,,1,,1,0,1,0,0,0,0,0,0,0,0,
4,1,104,2,412,"104-412",703,2,,,,,,,,,,,,,,,
4,1,104,2,412,"104-412",704,2,,,,,,,,,,,,,,,
4,1,104,2,412,"104-412",705,1,,10,,2,,,,,,,,,,,
4,1,104,2,412,"104-412",706,1,,1,,2,,,,,,,,,,,
4,1,104,2,412,"104-412",707,1,,10,,2,,,,,,,,,,,
4,1,104,2,412,"104-412",708,1,,3,,1,0,1,0,0,0,0,0,0,0,0,
4,1,104,2,412,"104-412",709,2,,,,,,,,,,,,,,,
4,1,104,2,412,"104-412",710,1,,1,,2,,,,,,,,,,,
4,1,104,2,412,"104-412",711,1,,1,,2,,,,,,,,,,,
4,1,104,2,412,"104-412",712,2,,,,,,,,,,,,,,,
4,1,104,2,412,"104-412",713,1,,3,,2,,,,,,,,,,,
4,1,104,2,412,"104-412",714,2,,,,,,,,,,,,,,,
4,1,104,2,412,"104-412",715,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",701,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",702,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",703,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",704,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",705,1,,8,,2,,,,,,,,,,,
4,1,105,2,638,"105-638",706,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",707,2,,,,,,,,,,,,,,,
