"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
2,2,212,2,100,29109,,,,,,,,,2,,,,
2,2,212,2,100,29110,,,,,,,,,2,,,,
2,2,212,2,100,29111,,,,,,,,,2,,,,
2,2,212,2,100,29112,,,,,,,,,2,,,,
2,2,212,2,100,29113,,,,,,,,,2,,,,
2,2,212,2,100,29115,3,4,6,,3,4,6,,,,,,
2,2,212,2,100,29116,8,4,1,,1,7,8,,,,,,
2,2,212,2,100,29118,4,7,8,,4,7,8,,,,,,
2,2,212,2,100,29119,6,7,8,,3,10,,,,,,,
2,2,212,2,100,29120,,,,,,,,,2,,,,
2,2,212,2,1254,29121,,,,,,,,,1,4,7,3,
2,2,212,2,1254,29122,,,,,,,,,1,4,3,7,
2,2,212,2,1254,29123,,,,,,,,,2,,,,
2,2,212,2,1254,29124,4,7,3,,7,12,,,,,,,
2,2,212,2,1254,29126,,,,,,,,,2,,,,
2,2,212,2,1254,29127,,,,,,,,,2,,,,
2,2,212,2,1254,29128,,,,,,,,,2,,,,
2,2,212,2,1254,29130,4,5,,,4,5,,,,,,,
2,2,212,2,1254,29131,4,8,,,4,8,,,,,,,
2,2,212,2,1254,29132,,,,,,,,,2,,,,
2,2,213,1,1010,29133,,,,,,,,,2,,,,
2,2,213,1,1010,29134,,,,,,,,,2,,,,
2,2,213,1,1010,29135,,,,,,,,,2,,,,
2,2,213,1,1010,29136,2,4,5,,5,4,2,,,,,,
2,2,213,1,1010,29138,,,,,,,,,2,,,,
2,2,213,1,1010,29139,,,,,,,,,1,8,,,
2,2,213,1,1010,29140,,,,,,,,,2,,,,
2,2,213,1,1010,29142,14,,,,14,,,,,,,,
2,2,213,1,1010,29143,,,,,,,,,2,,,,
2,2,213,1,1010,29144,,,,,,,,,2,,,,
2,2,213,2,1282,29147,,,,,,,,,2,,,,
2,2,213,2,1282,29148,11,12,7,,4,7,10,,,,,,
2,2,213,2,1282,29149,,,,,,,,,2,,,,
2,2,213,2,1282,29150,,,,,,,,,2,,,,
2,2,213,2,1282,29151,,,,,,,,,2,,,,
2,2,213,2,1282,29152,,,,,,,,,2,,,,
2,2,213,2,1282,29153,,,,,,,,,2,,,,
2,2,213,2,1282,29154,,,,,,,,,2,,,,
