"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq2b_os","s4cq18_1","s4cq18_2","s4cq18_3","s4cq4","s4cq4_os","s4cq19","s4cq20","s4cq21a","s4cq21b","s4cq22","s4cq23_1","s4cq23_2","s4cq23_3","s4cq23_os","s4cq24","s4cq25a","s4cq25b","s4cq26","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq27a","s4cq27b","s4cq10","s4cq10b","s4cq11"
1,7,723,2,1088,79143,1,5,,2,,,6,,40000,1,0,,2,,,,,1,0,,40000,1,2,2018,2,,,2,2019,44100
2,8,805,2,46,80091,1,4,,1,,,4,,250000,4,6,3,1,6,,,,,,,,,,,,,,,,
2,8,827,2,804,80102,1,4,,1,,,2,,300000,2,5,3,2,,,,,2,,,,,,,,,,,,
2,8,827,2,804,80104,1,4,,1,,,2,,260000,4,5,3,1,6,,,,,,,,,,,,,,,,
2,8,827,2,804,80105,1,4,,1,,,2,,500000,2,6,3,2,,,,,2,,,,,,,,,,,,
2,8,827,2,804,80109,1,4,,1,,,2,,200000,4,5,3,1,6,,,,,,,,,,,,,,,,
5,9,908,1,278,90004,1,6,,2,,,8,,10000,1,0,,2,,,,,1,1,2,10000,2,3,2018,2,,,12,2018,15000
5,9,908,1,278,90010,1,1,,1,,,10,,2000000,3,,,2,,,,,2,,,,,,,,,,,,
5,9,915,1,1390,90027,1,6,,1,,,12,,30000,1,0,,2,,,,,1,0,,30000,2,5,2018,2,,,8,2018,30000
5,9,901,2,0,90043,1,7,,1,,,13,"VEHICLE REPAIRS",100000,1,0,,2,,,,,1,0,,100000,2,2,2018,2,,,12,2018,120000
5,9,918,2,834,90097,1,5,,1,,,2,,40000,1,1,3,2,,,,,1,1,3,30000,1,2,2018,2,,,3,2019,40000
