"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
4,1,113,2,6,"113-6",403,2,,,,,,,,,,,
4,1,113,2,6,"113-6",405,2,,,,,,,,,,,
4,1,113,2,6,"113-6",406,2,,,,,,,,,,,
4,1,113,2,6,"113-6",407,1,,1,1,4,,,,8,,,
4,1,113,2,6,"113-6",408,1,,1,1,4,,,,8,,,
4,1,115,1,176,"115-176",401,2,,,,,,,,,,,
4,1,115,1,176,"115-176",402,1,,1,1,1,,,,1,,,
4,1,115,1,176,"115-176",403,2,,,,,,,,,,,
4,1,115,1,176,"115-176",405,2,,,,,,,,,,,
4,1,115,1,176,"115-176",406,2,,,,,,,,,,,
4,1,115,1,176,"115-176",407,1,,1,1,1,,,,1,,,
4,1,115,1,176,"115-176",408,2,,,,,,,,,,,
4,1,115,1,550,"115-550",401,2,,,,,,,,,,,
4,1,115,1,550,"115-550",402,2,,,,,,,,,,,
4,1,115,1,550,"115-550",403,2,,,,,,,,,,,
4,1,115,1,550,"115-550",405,2,,,,,,,,,,,
4,1,115,1,550,"115-550",406,2,,,,,,,,,,,
4,1,115,1,550,"115-550",407,2,,,,,,,,,,,
4,1,115,1,550,"115-550",408,2,,,,,,,,,,,
4,1,115,1,670,"115-670",401,2,,,,,,,,,,,
4,1,115,1,670,"115-670",402,2,,,,,,,,,,,
4,1,115,1,670,"115-670",403,2,,,,,,,,,,,
4,1,115,1,670,"115-670",405,2,,,,,,,,,,,
4,1,115,1,670,"115-670",406,2,,,,,,,,,,,
4,1,115,1,670,"115-670",407,2,,,,,,,,,,,
4,1,115,1,670,"115-670",408,2,,,,,,,,,,,
4,1,117,2,560,"117-560",401,2,,,,,,,,,,,
4,1,117,2,560,"117-560",402,1,,1,1,1,,,,1,,,
4,1,117,2,560,"117-560",403,2,,,,,,,,,,,
4,1,117,2,560,"117-560",405,2,,,,,,,,,,,
4,1,117,2,560,"117-560",406,2,,,,,,,,,,,
4,1,117,2,560,"117-560",407,1,,1,1,4,,,,8,,,
4,1,117,2,560,"117-560",408,2,,,,,,,,,,,
4,1,117,2,800,"117-800",401,2,,,,,,,,,,,
4,1,117,2,800,"117-800",402,1,,1,1,1,,,,1,,,
4,1,117,2,800,"117-800",403,2,,,,,,,,,,,
4,1,117,2,800,"117-800",405,2,,,,,,,,,,,
4,1,117,2,800,"117-800",406,2,,,,,,,,,,,
4,1,117,2,800,"117-800",407,1,,1,1,1,,,,1,,,
4,1,117,2,800,"117-800",408,2,,,,,,,,,,,
5,12,1201,2,320,"1201-320",401,1,,1,1,1,2,3,,1,5,6,
5,12,1201,2,320,"1201-320",402,1,,1,1,1,2,3,,1,2,5,
5,12,1201,2,320,"1201-320",403,1,,1,1,1,2,3,,1,5,2,
5,12,1201,2,320,"1201-320",405,2,,,,,,,,,,,
5,12,1201,2,320,"1201-320",406,2,,,,,,,,,,,
5,12,1201,2,320,"1201-320",407,1,,1,1,1,2,3,,1,5,6,
5,12,1201,2,320,"1201-320",408,1,,1,1,1,3,2,,1,5,6,
5,12,1203,1,334,"1203-334",401,2,,,,,,,,,,,
5,12,1203,1,334,"1203-334",402,2,,,,,,,,,,,
5,12,1203,1,334,"1203-334",403,1,,1,1,1,2,3,,1,2,3,
5,12,1203,1,334,"1203-334",405,2,,,,,,,,,,,
5,12,1203,1,334,"1203-334",406,2,,,,,,,,,,,
5,12,1203,1,334,"1203-334",407,2,,,,,,,,,,,
5,12,1203,1,334,"1203-334",408,2,,,,,,,,,,,
5,12,1207,1,144,"1207-144",401,1,,1,1,1,2,3,,1,2,5,
5,12,1207,1,144,"1207-144",402,1,,2,1,1,2,3,,1,2,3,
5,12,1207,1,144,"1207-144",403,1,,1,1,1,2,3,,5,6,7,
5,12,1207,1,144,"1207-144",405,2,,,,,,,,,,,
5,12,1207,1,144,"1207-144",406,2,,,,,,,,,,,
5,12,1207,1,144,"1207-144",407,1,,1,1,4,,,,5,6,7,
5,12,1207,1,144,"1207-144",408,2,,,,,,,,,,,
5,12,1208,2,526,"1208-526",401,1,,1,1,1,2,3,,1,2,5,
