"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
5,10,1013,2,410,109088,2,2160,1,11,2018,1,7,,2,,,1,170,,,,,2000
5,10,1013,2,410,109088,2,2170,1,11,2018,2,,,2,,,10,110,,1,,5.1399998664856,12000
5,10,1013,2,410,109095,1,2170,1,1,2018,2,,,2,,,22,110,,1,,5.1399998664856,17600
5,10,1013,2,1054,109108,1,2170,1,12,2018,2,,,2,,,10,110,,1,,5.1399998664856,8000
5,10,1013,2,1054,109108,2,2170,1,11,2018,2,,,2,,,15,110,,1,,5.1399998664856,12000
5,10,1013,2,410,109169,2,2170,1,10,2018,2,,,2,,,10,110,,1,,5.1399998664856,5000
4,11,1104,2,434,110082,1,3160,1,3,2018,1,5,,1,7,2018,10,10,,,,5.30999994277954,8000
4,11,1104,2,434,110082,1,3180,1,2,2018,2,,,1,6,2018,30,100,,1,,25,18000
4,11,1104,2,434,110082,2,3160,2,,,,,,,,,,,,,,,
4,11,1104,2,434,110082,2,3180,2,,,,,,,,,,,,,,,
4,11,1104,2,434,110089,3,3190,1,9,2018,1,6,,1,10,2018,1,11,,,,,3000
4,11,1104,2,434,110090,1,3190,2,,,,,,,,,,,,,,,
5,12,1211,1,2856,120001,2,2170,1,11,2018,2,,,2,,,15,110,,1,,5.1399998664856,10000
5,12,1208,2,526,120041,2,2170,1,9,2018,1,2,,1,1,2019,15,110,,2,,7.96500015258789,7500
5,12,1208,2,526,120042,1,2170,1,10,2018,1,7,,2,,,10,110,,2,,7.96500015258789,5000
5,12,1208,2,526,120045,2,3040,1,4,2018,2,,,2,,,1,130,,11,2,50,35000
5,12,1208,2,526,120046,1,3020,1,3,2018,2,,,1,3,2018,4,70,,1,,,12000
5,12,1208,2,526,120047,1,2170,1,12,2018,2,,,2,,,5,110,,0,,3.50999999046326,2500
5,12,1214,2,452,120093,3,2170,2,,,,,,,,,,,,,,,
5,12,1214,2,452,120100,1,2170,1,10,2018,2,,,1,1,2019,30,110,,2,,7.96500015258789,30000
5,12,1201,2,320,129002,1,2170,1,8,2018,2,,,2,,,40,110,,1,,5.1399998664856,22000
5,12,1201,2,320,129002,1,3170,1,9,2018,2,,,2,,,10,130,,11,,50,8000
5,12,1201,2,320,129002,1,3221,1,10,2018,2,,,1,10,2018,7,130,,11,,50,5600
5,12,1201,2,320,129003,1,3040,1,1,2018,1,6,,2,,,1,130,,11,2,50,31000
